Symbol,Name,Sector,Location,CIK,Founded
INTC,Intel Corp.,Information Technology,"Santa Clara, California","0000050863
","
"
ICE,Intercontinental Exchange,Financials,"Atlanta, Georgia","0001571949
","
"
IBM,International Business Machines,Information Technology,"Armonk, New York",0000051143,"1911
"
IP,International Paper,Materials,"Memphis, Tennessee",0000051434,"1898
"
IPG,Interpublic Group,Consumer Discretionary,"New York, New York","0000051644
","
"
IFF,Intl Flavors & Fragrances,Materials,"New York, New York","0000051253
","
"
INTU,Intuit Inc.,Information Technology,"Mountain View, California","0000896878
","
"
ISRG,Intuitive Surgical Inc.,Health Care,"Sunnyvale, California","0001035267
","
"
IVZ,Invesco Ltd.,Financials,"Atlanta, Georgia","0000914208
","
"
IPGP,IPG Photonics Corp.,Information Technology,"Oxford, Massachusetts","0001111928
","
"
IQV,IQVIA Holdings Inc.,Health Care,"Durham, North Carolina","0001478242
","
"
IRM,Iron Mountain Incorporated,Real Estate,"Boston, Massachusetts","0001020569
","
"
JBHT,J. B. Hunt Transport Services,Industrials,"Lowell, Arkansas","0000728535
","
"
JEC,Jacobs Engineering Group,Industrials,"Pasadena, California","0000052988
","
"
JEF,Jefferies Financial Group,Financials,"New York, New York","0000096223
","
"
SJM,JM Smucker,Consumer Staples,"Orrville, Ohio","0000091419
","
"
JNJ,Johnson & Johnson,Health Care,"New Brunswick, New Jersey",0000200406,"1886
"
JCI,Johnson Controls International,Industrials,"Cork, Ireland","0000833444
","
"
JPM,JPMorgan Chase & Co.,Financials,"New York, New York","0000019617
","
"
JNPR,Juniper Networks,Information Technology,"Sunnyvale, California",0001043604,"1996
"
KSU,Kansas City Southern,Industrials,"Kansas City, Missouri","0000054480
","
"
K,Kellogg Co.,Consumer Staples,"Battle Creek, Michigan",0000055067,"1906
"
KEY,KeyCorp,Financials,"Cleveland, Ohio","0000091576
","
"
KMB,Kimberly-Clark,Consumer Staples,"Irving, Texas",0000055785,"1872
"
KIM,Kimco Realty,Real Estate,"New Hyde Park, New York","0000879101
","
"
KMI,Kinder Morgan,Energy,"Houston, Texas","0001506307
","
"
KLAC,KLA-Tencor Corp.,Information Technology,"Milpitas, California",0000319201,"1975/1977 (1997)
"
KSS,Kohl's Corp.,Consumer Discretionary,"Menomonee Falls, Wisconsin",0000885639,"1962
"
KHC,Kraft Heinz Co,Consumer Staples,"Pittsburgh, Pennsylvania","0001637459
","
"
KR,Kroger Co.,Consumer Staples,"Cincinnati, Ohio",0000056873,"1883
"
LB,L Brands Inc.,Consumer Discretionary,"Columbus, Ohio","0000701985
","
"
LLL,L-3 Communications Holdings,Industrials,"New York, New York",0001056239,"1997
"
LH,Laboratory Corp. of America Holding,Health Care,"Burlington, North Carolina","0000920148
","
"
LRCX,Lam Research,Information Technology,"Fremont, California","0000707549
","
"
LEG,Leggett & Platt,Consumer Discretionary,"Carthage, Missouri",0000058492,"1883
"
LEN,Lennar Corp.,Consumer Discretionary,"Miami, Florida","0000920760
","
"
LLY,Lilly (Eli) & Co.,Health Care,"Indianapolis, Indiana",0000059478,"1876
"
LNC,Lincoln National,Financials,"Radnor, Pennsylvania","0000059558
","
"
LKQ,LKQ Corporation,Consumer Discretionary,"Chicago, Illinois","0001065696
","
"
LMT,Lockheed Martin Corp.,Industrials,"Bethesda, Maryland","0000936468
","
"
L,Loews Corp.,Financials,"New York, New York","0000060086
","
"
LOW,Lowe's Cos.,Consumer Discretionary,"Mooresville, North Carolina",0000060667,"1904/1946/1959
"
LYB,LyondellBasell,Materials,"Rotterdam, Netherlands","0001489393
","
"
MTB,M&T Bank Corp.,Financials,"Buffalo, New York",0000036270,"1856
"
MAC,Macerich,Real Estate,"Santa Monica, California","0000912242
","
"
M,Macy's Inc.,Consumer Discretionary,"Cincinnati, Ohio",0000794367,"1929
"
MRO,Marathon Oil Corp.,Energy,"Houston, Texas","0000101778
","
"
MPC,Marathon Petroleum,Energy,"Findlay, Ohio","0001510295
","
"
MAR,Marriott Int'l.,Consumer Discretionary,"Bethesda, Maryland",0001048286,"1927
"
MMC,Marsh & McLennan,Financials,"New York, New York","0000062709
","
"
MLM,Martin Marietta Materials,Materials,"Raleigh, North Carolina","0000916076
","
"
MAS,Masco Corp.,Industrials,"Taylor, Michigan","0000062996
","
"
MA,Mastercard Inc.,Information Technology,"Harrison, New York","0001141391
","
"
MAT,Mattel Inc.,Consumer Discretionary,"El Segundo, California","0000063276
","
"
MKC,McCormick & Co.,Consumer Staples,"Sparks, Maryland",0000063754,"1889
"
MCD,McDonald's Corp.,Consumer Discretionary,"Chicago, Illinois",0000063908,"1940
"
MCK,McKesson Corp.,Health Care,"San Francisco, California",0000927653,"1833
"
MDT,Medtronic plc,Health Care,,"0000064670
","
"
MRK,Merck & Co.,Health Care,"Whitehouse Station, New Jersey",0000310158,"1891
"
MET,MetLife Inc.,Financials,"New York, New York",0001099219,"1868
"
MTD,Mettler Toledo,Health Care,"Columbus, Ohio","0001037646
","
"
MGM,MGM Resorts International,Consumer Discretionary,"Paradise, Nevada","0000789570
","
"
KORS,Michael Kors Holdings,Consumer Discretionary,"New York, New York","0001530721
","
"
MCHP,Microchip Technology,Information Technology,"Chandler, Arizona","0000827054
","
"
MU,Micron Technology,Information Technology,"Boise, Idaho","0000723125
","
"
MSFT,Microsoft Corp.,Information Technology,"Redmond, Washington","0000789019
","
"
MAA,Mid-America Apartments,Real Estate,"Memphis, Tennessee","0000912595
","
"
MHK,Mohawk Industries,Consumer Discretionary,"Amsterdam, New York","0000851968
","
"
TAP,Molson Coors Brewing Company,Consumer Staples,"Denver, Colorado","0000024545
","
"
MDLZ,Mondelez International,Consumer Staples,"Northfield, Illinois","0001103982
","
"
MNST,Monster Beverage,Consumer Staples,"Corona, California","0000865752
","
"
MCO,Moody's Corp,Financials,"New York, New York",0001059556,"1909
"
MS,Morgan Stanley,Financials,"New York, New York",0000895421,"1935
"
MSI,Motorola Solutions Inc.,Information Technology,"Schaumburg, Illinois",0000068505,"1928 (2011)
"
MSCI,MSCI Inc,Financials,"New York, New York","0001408198
","
"
MYL,Mylan N.V.,Health Care,,"0000069499
","
"
NDAQ,"Nasdaq, Inc.",Financials,"New York, New York","0001120193
","
"
NOV,National Oilwell Varco Inc.,Energy,"Houston, Texas","0001021860
","
"
NKTR,Nektar Therapeutics,Health Care,"San Francisco, California","0000906709
","
"
NTAP,NetApp,Information Technology,"Sunnyvale, California","0001002047
","
"
NFLX,Netflix Inc.,Information Technology,"Los Gatos, California","0001065280
","
"
NWL,Newell Brands,Consumer Discretionary,"Sandy Springs, Georgia","0000814453
","
"
NFX,Newfield Exploration Co,Energy,"Houston, Texas","0000912750
","
"
NEM,Newmont Mining Corporation,Materials,"Denver, Colorado",0001164727,"1921
"
NWSA,News Corp. Class A,Consumer Discretionary,"New York, New York","0001564708
","
"
NWS,News Corp. Class B,Consumer Discretionary,"New York, New York","0001564708
","
"
NEE,NextEra Energy,Utilities,"Juno Beach, Florida","0000753308
","
"
NLSN,Nielsen Holdings,Industrials,"New York, New York","0001492633
","
"
NKE,Nike,Consumer Discretionary,"Washington County, Oregon","0000320187
","
"
NI,NiSource Inc.,Utilities,"Merrillville, Indiana",0001111711,"1912
"
NBL,Noble Energy Inc,Energy,"Houston, Texas","0000072207
","
"
JWN,Nordstrom,Consumer Discretionary,"Seattle, Washington","0000072333
","
"
NSC,Norfolk Southern Corp.,Industrials,"Norfolk, Virginia",0000702165,"1881/1894 (1980)
"
NTRS,Northern Trust Corp.,Financials,"Chicago, Illinois",0000073124,"1889
"
